,Iteration,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,simulation_result
0,1,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
1,2,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
2,3,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
3,4,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
4,5,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
5,6,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
6,7,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
7,8,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
8,9,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
9,10,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
10,11,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
11,12,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
12,13,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
13,14,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
14,15,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
15,16,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
16,17,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
17,18,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
18,19,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
19,20,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
20,21,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
21,22,0.05,0.9125,0.9,0.39,1,2.6,18,2.5,2.5,25,25.83630952
22,23,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
23,24,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
24,25,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
25,26,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
26,27,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
27,28,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
28,29,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
29,30,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
30,31,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
31,32,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
32,33,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
33,34,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
34,35,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
35,36,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
36,37,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
37,38,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
38,39,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
39,40,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
40,41,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
41,42,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
42,43,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
43,44,0.225,4.10625,1.85,0.475,1.25,3.3,22,5,5,42.5,25.79047619
44,45,0.3125,2.509375,1.375,0.4325,1.375,3.65,20,6.25,6.25,51.25,25.83095238
