,Iteration,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,simulation_result
0,1,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
1,2,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
2,3,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
3,4,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
4,5,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
5,6,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
6,7,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
7,8,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
8,9,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
9,10,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
10,11,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
11,12,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
12,13,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
13,14,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
14,15,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
15,16,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
16,17,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
17,18,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,25.836309523809526
