,Iteration,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,simulation_result
0,1,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
1,2,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
2,3,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
3,4,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
4,5,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
5,6,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
6,7,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
7,8,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
8,9,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
9,10,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
10,11,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
11,12,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
12,13,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
13,14,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
14,15,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
15,16,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
16,17,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
17,18,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
18,19,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
19,20,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
20,21,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
21,22,0.05,0.9125,0.9,0.39,1.0,2.6,18.0,2.5,2.5,25.0,27.511904761904763
22,23,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
23,24,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
24,25,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
25,26,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
26,27,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
27,28,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
28,29,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
29,30,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
30,31,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
31,32,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
32,33,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
33,34,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
34,35,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
35,36,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
36,37,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
37,38,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
38,39,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
39,40,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
40,41,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
41,42,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
42,43,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
43,44,0.22500000000000003,4.10625,1.85,0.47500000000000003,1.25,3.3,22.0,5.0,5.0,42.5,27.475
44,45,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
45,46,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
46,47,0.3125,5.703125,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.487499999999997
47,48,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
48,49,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
49,50,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
50,51,0.3125,2.509375,1.375,0.4325,1.375,2.95,20.0,6.25,6.25,51.25,27.507142857142856
51,52,0.3125,2.509375,1.375,0.4325,1.375,3.65,24.0,6.25,6.25,51.25,27.481547619047618
52,53,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,3.75,6.25,51.25,27.49940476190476
53,54,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,51.25,27.504166666666666
54,55,0.3125,2.509375,1.375,0.4325,1.375,3.65,20.0,6.25,6.25,33.75,27.5047619047619
55,56,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
56,57,0.3125,2.509375,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.479761904761908
57,58,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
58,59,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
59,60,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
60,61,0.3125,5.703125,1.375,0.4325,1.375,3.65,24.0,3.75,6.25,33.75,27.457738095238092
61,62,0.3125,5.703125,1.375,0.4325,1.375,2.95,20.0,3.75,6.25,33.75,27.486309523809524
62,63,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,6.25,6.25,33.75,27.464285714285715
63,64,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
64,65,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,51.25,27.458928571428572
65,66,0.3125,5.703125,1.375,0.4325,1.375,2.95,24.0,3.75,6.25,33.75,27.458928571428572
66,67,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
67,68,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
68,69,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.468452380952378
69,70,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
70,71,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
71,72,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
72,73,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,3.65,24.0,3.75,3.75,33.75,27.43511904761905
73,74,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,20.0,3.75,3.75,33.75,27.467857142857138
74,75,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,6.25,3.75,33.75,27.44464285714285
75,76,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,33.75,27.4375
76,77,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,2.95,24.0,3.75,3.75,51.25,27.43571428571429
77,78,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,3.65,20.0,6.25,3.75,51.25,27.491666666666667
78,79,0.1375,5.703125,2.3249999999999997,0.5175000000000001,1.125,3.65,20.0,6.25,3.75,51.25,27.467261904761905
79,80,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,3.65,20.0,6.25,3.75,51.25,27.491666666666667
80,81,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,3.65,20.0,6.25,3.75,51.25,27.491666666666667
81,82,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,3.65,20.0,6.25,3.75,51.25,27.491666666666667
82,83,0.1375,2.509375,2.3249999999999997,0.5175000000000001,1.125,2.95,20.0,6.25,3.75,51.25,27.49464285714286
