,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value,,,,,,,,,,,,,,,,,,,
1,0.117778763,0.219418484,0.064505114,0.00016081,0.386696717,0,0.114782823,0.000902642,0.000501865,0.000620971,0.001469188,0.000507871,0.002118772,-6.50E-05,0.001494629,-0.00209441,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239,0.908799239
2,0.089065801,0.160658639,0.063061397,-0.000424843,0.337435811,0,0.112138622,0.000960891,0.000935784,0.001311992,-0.000137101,0.000223988,0.009717228,0.001171338,-0.000200065,0.014846096,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578,0.790765578
3,0.110344371,0.087532375,0.074610578,-7.16E-05,0.410070111,0,0.103426998,-0.000799596,0.000706649,-0.000197933,0.000890134,0.000240954,0.002407136,-0.001866312,-0.001464669,-0.002866889,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307,0.782962307
4,0.128779086,0.11979203,0.106400141,0.000343842,0.435512558,0,0.109233468,-7.29E-05,-0.000952669,0.000365009,0.000625795,0.000129588,-0.001249002,-0.001621774,0.000276948,0.002799171,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291,0.900361291
5,0.111267731,0.134114862,0.087311118,-9.42E-05,0.445112529,0,0.096849618,-0.001479511,0.00133337,0.000347794,0.001232664,-0.000174138,0.00250114,0.00152217,0.002219327,-0.002062869,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605,0.880001605
6,0.124428259,0.142666061,0.088921455,-0.000150011,0.454325421,0,0.103291175,0.002992611,0.000908054,-0.001031182,-0.000517622,-8.57E-05,0.003429067,0.001034862,0.001653418,0.009763252,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912,0.93162912
7,0.12122094,0.17792821,0.096748928,0.000606391,0.433811951,0,0.105983888,5.15E-05,-0.000874562,0.000422592,0.000509796,0.000297316,0.00165606,0.00587468,0.003381897,0.005022432,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019,0.952642019
8,0.000455453,0.04857297,0.011171301,0.001689744,0.004324946,0,-0.035406244,-0.000221444,0.002194883,-0.000224585,-0.005562378,0.0105498,-0.007176594,-0.000924755,-0.006674597,0.024133002,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502,0.046901502
9,0.018440185,0.064009732,0.073340053,0.036727043,0.308844814,0,0.091884657,0.003996763,0.000713293,-0.000727923,-0.003623981,0.048690076,0.001234384,-0.001916409,-0.000193204,0.01748779,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273,0.658907273
10,0.016790079,0.06736951,0.066473741,0.179674241,0.318087744,0,0.056986122,0.003592337,-0.000542414,-0.001796169,0.030212518,0.000557917,0.002660931,0.001473821,0.000491274,0.000491274,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926,0.742522926
