,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value
1,0.145818018,0.265174851,0.109420856,6.26E-05,0.435202037,0,0.1581624,0.001084304,0.000271076,0.000271076,0.00099047,0.00010426,0.004410197,0.001365806,0.003763786,0.009372973
2,0.238058172,0.328549873,0.191885114,0.000149852,0.543287372,0,0.247517561,0.002191581,0.000599407,0.000674333,0.001723295,0.000299703,0.009627972,0.006387429,0.009365732,0.051005776
3,0.228265953,0.260537851,0.17064907,0.000107394,0.553651882,0,0.22545581,0.001950991,0.000519071,0.000447475,0.001718304,0.000214788,0.009432773,0.004403154,0.009862349,0.050636272
4,0.229244294,0.267508984,0.175838282,4.91E-05,0.565570775,0,0.218658877,0.001584129,0.001080646,0.000356122,0.001313967,0.000171921,0.008325886,0.004408544,0.007196119,0.035661315
5,0.199260937,0.238371374,0.139431538,7.61E-05,0.527044688,0,0.170319648,0.001228999,0.000880964,0.000326283,0.001185494,0.000141389,0.007189099,0.00317582,0.005253154,0.031377534
6,0.203146897,0.256015023,0.145682009,8.57E-05,0.543103731,0,0.173016138,0.002003717,0.001210802,0.000310737,0.00088935,0.000107151,0.009311391,0.005721844,0.007832712,0.036324067
7,0.174969234,0.252564831,0.129995374,0.006683325,0.494001246,0,0.15219991,0.002980826,0.001150494,0.000491575,0.001056363,0.002656595,0.008074377,0.005177223,0.008314935,0.025927953
8,0.542160161,0.660706386,0.407523174,0.119777661,0.794194033,0,0.525412633,0.005172031,0.002052393,0.00057467,0.045398935,0.080043331,0.032756194,0.022576324,0.020770218,0.156310258
9,0.223752071,0.392587636,0.260199632,0.176190455,0.677630449,0,0.362841196,0.006374237,0.000326884,0.001470978,0.076817731,0.167201146,0.032524954,0.022718435,0.020103364,0.060310091
10,0.136484047,0.223025608,0.199388706,0.388483922,0.504762231,0,0.205488552,0.006862326,0.002287442,0.001906202,0.112465905,0.043461401,0.025543104,0.004956125,0.019443258,0.013343412
11,0.18641364,0.318532046,0.262426969,0.295909031,0.583673777,0,0.357443631,0.004524603,0.003619682,0.003619682,0.12397412,0.042531267,0.038006665,0.012668888,0.026242697,0.026242697
12,0.110657611,0.247256933,0.236312773,0.323460709,0.537074485,0,0.307652479,0.002837375,0.002026696,0.002026696,0.103766844,0.049451387,0.023509676,0.00526941,0.014997552,0.010944159
13,0.081366662,0.216742432,0.196444892,0.266692032,0.566566129,0,0.279047056,0.003000506,0.000882502,0.000706001,0.059127618,0.034594069,0.016061532,0.002824006,0.010766521,0.005824512
14,0.393467758,0.384601878,0.306759451,0.348074452,0.595077872,0,0.433718854,0.00957515,0.00372367,0.002305129,0.092027835,0.283353528,0.046989164,0.035818156,0.033867662,0.110291548
15,0.164668999,0.289751034,0.206107611,0.094689463,0.604786644,0,0.323144553,0.003192497,0.001660098,0.00031925,0.019091132,0.036075217,0.015770936,0.008747442,0.008045093,0.023177529
16,0.117121584,0.198828342,0.120054977,0.012011921,0.475445115,0,0.219040915,0.003597153,0.00145599,0.000428232,0.002291044,0.002398102,0.007601127,0.002012693,0.004153855,0.009570996
17,0.140793979,0.224470457,0.115276207,0.000380122,0.438264437,0,0.203729004,0.003239303,0.001718814,0.000429703,0.005338239,0.00056192,0.006313335,0.001223002,0.003437627,0.007486756
18,0.157346941,0.228727403,0.108042275,0.000332059,0.438810289,0,0.187355267,0.002398206,0.001980058,0.000368955,0.003652653,0.000504238,0.004845607,0.001033074,0.002767161,0.00784644
19,0.154732841,0.234377895,0.116388925,0.000285722,0.43164048,0,0.17573342,0.00231435,0.002342922,0.000371439,0.003914394,0.0005143,0.005000138,0.000985741,0.002757219,0.007271629
20,0.155881493,0.235946624,0.111612879,0.000241696,0.425602016,0,0.166935925,0.002264314,0.002048059,0.000318022,0.003460076,0.000305301,0.005469972,0.001055832,0.003243821,0.008115913
21,0.149785078,0.231541735,0.103603997,0.000141407,0.42988824,0,0.155523834,0.002050398,0.001237309,0.000188542,0.00245105,0.000329949,0.003924037,0.001296228,0.003134516,0.007812722
22,0.16534325,0.248798303,0.118271147,0.000132784,0.451201705,0,0.163736557,0.001314566,0.000663922,0.00034524,0.002005046,0.000239012,0.004607622,0.000677201,0.00402337,0.005191874
23,0.169833624,0.240122535,0.120759373,0.000142207,0.45566916,0,0.157862403,0.001292788,0.000607611,0.000206846,0.001745264,0.00024563,0.005080659,0.000711034,0.004046428,0.006360519
24,0.169003583,0.251181644,0.125877871,8.20E-05,0.450093011,0,0.160774842,0.001298556,0.000478415,0.000314387,0.001872654,0.000123021,0.005590623,0.001462584,0.00481149,0.012247429
