,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity,,,,,,,,,
1,0.286609174,0.217401488,0.236536865,0.188909164,0.004130544,0.055804492,0.335669921,1.325061648,1.325061648,1.325061648,1.325061648,1.325061648,1.325061648,1.325061648,1.325061648,1.325061648
2,0.250280915,0.192353283,0.184805319,0.189178346,0.006769206,0.05002024,0.364997992,1.238405301,1.238405301,1.238405301,1.238405301,1.238405301,1.238405301,1.238405301,1.238405301,1.238405301
3,0.257730026,0.170066076,0.159343872,0.258673183,0.00600642,0.035939241,0.403968981,1.291727799,1.291727799,1.291727799,1.291727799,1.291727799,1.291727799,1.291727799,1.291727799,1.291727799
4,0.272072543,0.120652928,0.153143776,0.220769187,0.005478999,0.063257537,0.365215531,1.200590501,1.200590501,1.200590501,1.200590501,1.200590501,1.200590501,1.200590501,1.200590501,1.200590501
5,0.28810437,0.084894495,0.151891892,0.199513735,0.004513181,0.125902193,0.309775421,1.164595287,1.164595287,1.164595287,1.164595287,1.164595287,1.164595287,1.164595287,1.164595287,1.164595287
6,0.167646069,0.053836511,0.134385007,0.270420175,0.007528861,0.11293291,0.448689157,1.19543869,1.19543869,1.19543869,1.19543869,1.19543869,1.19543869,1.19543869,1.19543869,1.19543869
7,0.233172528,0.091633702,0.200184395,0.240503224,0.015507242,0.189470301,0.451965613,1.422437005,1.422437005,1.422437005,1.422437005,1.422437005,1.422437005,1.422437005,1.422437005,1.422437005
8,0.411482633,0.464942976,0.656104199,0.084240539,0.040500259,0.163621047,0.129600829,1.950492482,1.950492482,1.950492482,1.950492482,1.950492482,1.950492482,1.950492482,1.950492482,1.950492482
9,0.317822349,0.59426158,0.658819245,0.105940783,0.049659742,0.12249403,0.152289876,2.001287605,2.001287605,2.001287605,2.001287605,2.001287605,2.001287605,2.001287605,2.001287605,2.001287605
10,0.300455843,0.66832165,0.572021701,0.138671927,0.061631968,0.09629995,0.181043905,2.018446944,2.018446944,2.018446944,2.018446944,2.018446944,2.018446944,2.018446944,2.018446944,2.018446944
11,0.086446954,0.457248658,0.359396408,0.166802444,0.033308647,0.065969265,0.153323459,1.322495835,1.322495835,1.322495835,1.322495835,1.322495835,1.322495835,1.322495835,1.322495835,1.322495835
12,0.125580214,0.442157595,0.416736499,0.195742439,0.066094849,0.094735951,0.219977217,1.561024764,1.561024764,1.561024764,1.561024764,1.561024764,1.561024764,1.561024764,1.561024764,1.561024764
13,0.108747322,0.344167349,0.467971993,0.137905945,0.083173776,0.116634491,0.217255639,1.475856515,1.475856515,1.475856515,1.475856515,1.475856515,1.475856515,1.475856515,1.475856515,1.475856515
14,0.158279489,0.174999153,0.475718448,0.118914946,0.089640867,0.152354274,0.215830333,1.38573751,1.38573751,1.38573751,1.38573751,1.38573751,1.38573751,1.38573751,1.38573751,1.38573751
15,0.205869203,0.137885653,0.531773164,0.0920906,0.10568731,0.231310899,0.183180214,1.487797043,1.487797043,1.487797043,1.487797043,1.487797043,1.487797043,1.487797043,1.487797043,1.487797043
16,0.262094242,0.09265547,0.514149678,0.060775476,0.106899722,0.336842652,0.187481492,1.560898732,1.560898732,1.560898732,1.560898732,1.560898732,1.560898732,1.560898732,1.560898732,1.560898732
17,0.333169873,0.041689752,0.45388738,0.029069681,0.057007907,0.32803481,0.050219179,1.293078582,1.293078582,1.293078582,1.293078582,1.293078582,1.293078582,1.293078582,1.293078582,1.293078582
18,0.506311363,0.024475653,0.301713277,0.024213179,0.055053815,0.32901052,0.030775017,1.271552824,1.271552824,1.271552824,1.271552824,1.271552824,1.271552824,1.271552824,1.271552824,1.271552824
19,0.624560069,0.031172186,0.398540256,0.035723496,0.048604565,0.2234436,0.018978107,1.381022279,1.381022279,1.381022279,1.381022279,1.381022279,1.381022279,1.381022279,1.381022279,1.381022279
20,0.655956643,0.038701969,0.264324345,0.039844138,0.035539039,0.120454937,0.013398525,1.168219596,1.168219596,1.168219596,1.168219596,1.168219596,1.168219596,1.168219596,1.168219596,1.168219596
21,0.702419183,0.091751889,0.265473298,0.046381929,0.032214358,0.087198027,0.02484947,1.250288154,1.250288154,1.250288154,1.250288154,1.250288154,1.250288154,1.250288154,1.250288154,1.250288154
22,0.630116309,0.141904908,0.275032193,0.02586473,0.018784114,0.078179364,0.050910214,1.220791832,1.220791832,1.220791832,1.220791832,1.220791832,1.220791832,1.220791832,1.220791832,1.220791832
23,0.559172968,0.184808723,0.279491548,0.054240094,0.012151806,0.080062683,0.130948373,1.300876195,1.300876195,1.300876195,1.300876195,1.300876195,1.300876195,1.300876195,1.300876195,1.300876195
24,0.352437385,0.272046426,0.265888821,0.142394624,0.010091631,0.092620648,0.304373855,1.43985339,1.43985339,1.43985339,1.43985339,1.43985339,1.43985339,1.43985339,1.43985339,1.43985339
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity,,,,,,,,,
1,0.216298747,0.164068961,0.178510083,0.142566321,0.003117247,0.042114638,0.253324003,,,,,,,,,
2,0.202099357,0.155323369,0.149228462,0.152759638,0.005466067,0.040390848,0.294732259,,,,,,,,,
3,0.19952348,0.131657828,0.123357159,0.200253632,0.004649912,0.027822612,0.312735378,,,,,,,,,
4,0.226615605,0.100494655,0.127557045,0.183883836,0.004563587,0.052688687,0.304196586,,,,,,,,,
5,0.247385829,0.072896135,0.130424615,0.171315939,0.003875321,0.108108108,0.265994053,,,,,,,,,
6,0.140238115,0.045034941,0.112414805,0.226209991,0.00629799,0.094469847,0.375334311,,,,,,,,,
7,0.163924678,0.064420218,0.140733399,0.169078295,0.010901883,0.133201189,0.317740337,,,,,,,,,
8,0.210963455,0.238372093,0.336378738,0.043189369,0.02076412,0.083887043,0.066445183,,,,,,,,,
9,0.158808933,0.29693962,0.329197684,0.052936311,0.024813896,0.061207609,0.076095947,,,,,,,,,
10,0.148854962,0.33110687,0.283396947,0.06870229,0.030534351,0.047709924,0.089694656,,,,,,,,,
11,0.065366523,0.345746766,0.271756174,0.126127009,0.025186202,0.049882399,0.115934928,,,,,,,,,
12,0.080447291,0.28324829,0.266963413,0.125393551,0.042340679,0.060688308,0.140918467,,,,,,,,,
13,0.07368421,0.23319838,0.31708502,0.093441296,0.056356275,0.07902834,0.147206478,,,,,,,,,
14,0.114220397,0.126285932,0.343296219,0.085813471,0.064688201,0.109944541,0.155751238,,,,,,,,,
15,0.138371832,0.09267773,0.357423189,0.061897287,0.071036107,0.155472079,0.123121776,,,,,,,,,
16,0.167912393,0.059360334,0.32939336,0.038936207,0.068486007,0.215800452,0.120111246,,,,,,,,,
17,0.257656323,0.032240695,0.35101299,0.022480986,0.044086963,0.253685131,0.038836912,,,,,,,,,
18,0.398183507,0.019248632,0.237279389,0.019042212,0.043296522,0.258747033,0.024202704,,,,,,,,,
19,0.452244745,0.02257182,0.28858351,0.025867429,0.035194628,0.161795797,0.013742072,,,,,,,,,
20,0.561501147,0.033129019,0.22626255,0.034106719,0.03042154,0.103109841,0.011469184,,,,,,,,,
