,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity
1,0.645451595,0.170003152,0.180910375,0.004351832,0.001080431,0.003717306,0.001541531
2,0.581867564,0.135483175,0.232118194,0.005434029,0.001728168,0.004961282,0.001025105
3,0.549539757,0.147781817,0.239849486,0.001274404,-0.000661501,0.000560328,-0.000840069
4,0.562793249,0.168133534,0.215062664,0.002133488,-0.000308144,0.004888599,-7.76E-05
5,0.558777678,0.183684573,0.197645401,0.018552388,0.001062772,0.020105879,0.004340181
6,0.577473006,0.181651036,0.18190945,0.017881932,7.47E-05,0.027480141,0.006766334
7,0.616579811,0.169974879,0.147686499,0.010470281,-0.000181488,0.020385653,0.00413233
8,0.139497005,0.022292847,0.249313753,0.432388623,-0.001693488,-0.014130483,0.025965872
9,0.213879382,0.040210528,0.26352155,0.303271349,7.57E-06,0.013195689,0.017564624
10,0.262965856,0.21094786,0.330172546,0.094408453,0.003052514,0.009318664,0.057889851
11,0.1772356,0.190410989,0.35269136,-0.003261118,0.000455293,0.021647412,0.010188708
12,0.241988023,0.173540938,0.322078355,-0.010597045,0.005507232,0.005633074,0.005389281
13,0.188133072,0.181286547,0.355825694,0.002471791,0.008646634,0.014574112,0.048879006
14,0.148526578,0.087601833,0.428803832,-0.006746235,-0.003192571,0.016811483,0.004896202
15,0.355544383,0.141509748,0.275048858,-0.000586285,0.004012706,0.028705655,0.018434508
16,0.513382179,0.170934847,0.200085175,0.001527968,0.000763232,0.055212462,0.008682217
17,0.568834978,0.164241951,0.183284871,0.001640805,0.003420765,0.041516082,0.012708289
18,0.598918715,0.176333032,0.170504884,0.00570645,0.002809897,0.035442029,0.010926292
19,0.575736251,0.182752182,0.172750364,0.008497673,0.003787261,0.033908352,0.003478254
20,0.619391871,0.178427144,0.164632758,0.010172233,0.001641713,0.007284754,-5.73E-05
21,0.64955991,0.180177433,0.15995159,0.005879742,-0.001283251,0.006443427,0.002041471
22,0.634220725,0.174711942,0.169451467,0.008640122,0.002393276,0.007558877,0.008393291
23,0.636144932,0.166686966,0.169378761,0.011996398,-0.001184757,0.004082444,0.003154454
24,0.634684491,0.178237558,0.154446885,0.011518183,0.000705543,0.002544678,0.002502037
