,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value,,,,,,,,,,,,,,,,,,,,,,
1,0.189409816,0.498329363,0.100578457,0.000485417,0.241446547,0.013397516,0.290085357,0.033590875,0.00844626,0.009320011,0.026115449,0.001553335,0.075433843,0.014368351,0.051939647,0.020872942,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186,1.575373186
2,0.235740874,0.482344915,0.105890496,0.00020305,0.296351254,0.013096715,0.300209201,0.034721524,0.009137243,0.009238768,0.025279706,0.002436598,0.077463517,0.011573841,0.046295365,0.026904105,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172,1.676887172
3,0.273285121,0.42573234,0.123727897,0,0.312480674,0.006141239,0.39285865,0.034679936,0.013185601,0.010114981,0.025287453,0.001264373,0.066469877,0.017159343,0.040279301,0.028177448,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234,1.770844234
4,0.434973037,0.515710492,0.261723916,0.001345624,0.541613759,0.005718903,0.462894741,0.037341073,0.026576079,0.020857176,0.065599182,0.008746558,0.158447255,0.059880279,0.081410267,0.108659158,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499,2.791497499
5,0.334007406,0.285374459,0.115159147,0.011164167,0.236282711,0.020187261,0.483117855,0.044962535,0.031504362,0.010399498,0.012693505,0.00565855,0.046950675,0.011164167,0.066067399,0.020340195,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892,1.735033892
6,0.729776863,0.152807227,0.069062341,0.134318096,0.160964196,0.066887149,0.311052433,0.126161127,0.063624361,0.024470908,0.038065857,0.083201088,0.080482098,0.023383312,0.126161127,0.05057321,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393,2.240991393
7,0.699855851,0.132176166,0.08981201,0.096590275,0.130481599,0.125397901,0.659186262,0.205042513,0.113535937,0.064393517,0.050836987,0.17962402,0.120314202,0.037280457,0.198264248,0.072866348,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293,2.975658293
8,0.901926556,0.176644602,0.006234515,0.315882112,0.051954295,0.218208038,0.20989535,0.095595902,0.033250749,0.020781718,0.047797951,0.149628369,0.066501497,0.02285989,0.049876123,0.008312687,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354,2.375350354
9,0.937290375,0.179032993,0,0.368597338,0.094782173,0.305409223,0.189564345,0.052656763,0.021062705,0.021062705,0.115844878,0.16850164,0.08425082,0.010531353,0.052656763,0.010531353,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427,2.611775427
10,0.666714979,1.000072469,0,0.33335749,0,0,0,0,0,0,0.33335749,0.666714979,0.33335749,0,0,0,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897,3.333574897
