Glazing Ratio,Wall U Value,Window U Value,Window SHGC,Infiltration Rate,Chiller COP,Thermostat Setpoint,Equipment Load Density,Lighting Load Density,Occupancy Density,Wall Albedo,Roof Albedo,Wall Emissivity,Roof Emissivity,Floor Height,Roof U Value
0.068591006,0.396573774,0.023717509,0.000930806,0.124345551,0.099567357,0.524036443,0.154210708,0.089292416,0.094097971,0.15989656,0.234830034,0.173988527,0.265885756,0.151721343,0.162414787
0.056804316,0.385832771,0.033788267,0.001643303,0.117680099,0.090528813,0.574895979,0.123973703,0.089425102,0.088517607,0.133352792,0.199595062,0.143874835,0.209180177,0.133485237,0.121633836
0.094381065,0.480825034,0.065420823,0.003696132,0.173008536,0.070932599,0.457924144,0.138612169,0.101283394,0.089445683,0.165976518,0.247226586,0.190001378,0.276384963,0.146285427,0.175177222
0.096671484,0.616614726,0.065942325,0.003443838,0.176587432,0.057761303,0.292265607,0.131902951,0.0990294,0.083280477,0.151833895,0.23429993,0.176987027,0.276605143,0.141905027,0.186302776
0.09195896,0.655297371,0.058000486,0.011546036,0.130528125,0.046245927,0.220378679,0.109305044,0.088946951,0.061205573,0.116974083,0.207975379,0.151434559,0.266663221,0.107204361,0.160949419
0.062133456,0.596769093,0.00761576,0.011562953,0.04588031,0.01750696,0.419284736,0.053542507,0.029812914,0.012166641,0.019132275,0.032645605,0.055028509,0.03826455,0.039100426,0.040586428
0.287180246,0.593616361,0.003698147,0.021933838,0.03863926,0.027289775,0.404500772,0.075238164,0.014537544,0.014410021,0.018618257,0.012497187,0.076768432,0.016195334,0.045397943,0.020531092
0.529298487,0.133475271,0.002180177,0.018491129,0.025758386,0.03544806,0.416171534,0.043684284,0.013646292,0.009931917,0.021640274,0.017522162,0.030845465,0.01816814,0.034963577,0.014534512
0.719233387,0.09152881,0.001061734,0.011825522,0.012667587,0.046020686,0.299299208,0.04155408,0.009043046,0.006699909,0.016658243,0.015889401,0.034451444,0.014974113,0.032327976,0.010031558
0.708580557,0.0434896,0.001249701,0.012122101,0.014871444,0.042427354,0.296304145,0.04311469,0.01049749,0.008435483,0.017370846,0.022557106,0.038865706,0.021932255,0.024369173,0.016371085
0.754359124,0.044156455,0.000865813,0.014325267,0.019756275,0.051004248,0.262341294,0.039276419,0.007949736,0.008343287,0.021566611,0.02416405,0.037466083,0.02125177,0.03046087,0.01526979
0.78259428,0.054549594,0.000848801,0.012166144,0.016976015,0.049569963,0.197091531,0.029651439,0.008261661,0.007073339,0.015731107,0.024502048,0.030783173,0.0225781,0.019975111,0.019013137
0.707131067,0.088158652,0.000605102,0.009123071,0.014522439,0.048827046,0.21401979,0.04203129,0.008192145,0.007447405,0.010333274,0.04277603,0.041286549,0.035700996,0.022156029,0.022481853
0.761322028,0.089021664,0.000644151,0.010564076,0.016490265,0.062611474,0.200330951,0.038842303,0.011723548,0.006183849,0.014300151,0.056427625,0.031048077,0.043673436,0.024348907,0.035041813
0.635410497,0.180628899,0.000699474,0.008146816,0.016375923,0.069947409,0.179559115,0.043655413,0.021436824,0.006254121,0.014565519,0.06303496,0.032669555,0.049127769,0.035179432,0.04155699
0.438171153,0.229358946,0.001274216,0.006689636,0.021343124,0.104724658,0.284389165,0.09596442,0.044040103,0.011786501,0.023573003,0.057578652,0.048818414,0.045314319,0.061879132,0.054233834
0.203773862,0.276433174,0.001420408,0.002950077,0.024802502,0.113195561,0.399025277,0.097352553,0.078450205,0.013220717,0.033324948,0.182030699,0.040426986,0.136031345,0.08489667,0.097571077
0.047476358,0.398064082,0.008632065,0.001258843,0.073042856,0.17605816,0.304490099,0.198867193,0.162930227,0.079187208,0.150641524,0.242237325,0.153968465,0.221556336,0.175158986,0.157415297
0.056923231,0.39302026,0.0111062,0.003670425,0.11957359,0.236236154,0.377863936,0.284394662,0.271295042,0.09894327,0.226933524,0.294899672,0.225826069,0.312175983,0.257530947,0.187666304
0.059079198,0.251686989,0.007151411,0.000693794,0.039279394,0.139505892,0.459344765,0.165229626,0.129312463,0.055129911,0.104069048,0.145323085,0.101187135,0.13875873,0.145269717,0.109992978
0.109837409,0.211170242,0.0198975,0.00689994,0.070042409,0.144818498,0.567078749,0.232993306,0.132141865,0.091143387,0.142812701,0.205955171,0.138720877,0.20114126,0.173381038,0.195123871
0.152348178,0.213409501,0.022220434,0.005923056,0.077251008,0.103168865,0.540326291,0.180886539,0.096491966,0.069640779,0.140107196,0.154502017,0.12818929,0.133753372,0.117455994,0.151737924
0.141326074,0.37024527,0.033325132,0.007605162,0.091567678,0.096918043,0.389697669,0.160663823,0.100204696,0.078191765,0.150994949,0.201785201,0.145721017,0.195746932,0.114077429,0.190473
0.107413729,0.441652921,0.043824296,0.001915471,0.175234037,0.114444139,0.383031084,0.195525402,0.139534706,0.12463192,0.220300232,0.304707258,0.232698172,0.319631093,0.196577858,0.20430289
