Glazing Ratio,Wall U Value,Window U Value,Window SHGC,Infiltration Rate,Chiller COP,Thermostat Setpoint,Equipment Load Density,Lighting Load Density,Occupancy Density,Wall Albedo,Roof Albedo,Wall Emissivity,Roof Emissivity,Floor Height,Roof U Value
0.069146399,0.086090614,0.063947676,0.004148538,0.582293873,0,3.07E-06,0.045566366,0.021160309,0.014106873,0.049254296,0.059095944,0.065882228,0.098591502,0.060176836,0.489711764
0.07124634,0.078550808,0.067659993,0.003131594,0.593310395,0,2.58E-06,0.047366646,0.023507623,0.014358305,0.042609828,0.063763588,0.071352277,0.105456159,0.058947342,0.491236461
0.076154824,0.082207139,0.070957215,0.003982151,0.613659196,0,0.000177601,0.053979654,0.026132346,0.016741685,0.047480561,0.063697767,0.071367918,0.102037419,0.061480528,0.476270821
0.072951995,0.084461787,0.066479444,0.003274207,0.654874713,0,7.59E-05,0.049571307,0.030602756,0.019636137,0.048448548,0.058322755,0.066054616,0.112697647,0.060161651,0.438995556
0.091126332,0.103036646,0.081195982,0.004365516,0.764785209,0,0.00011339,0.059002065,0.0459186,0.020410205,0.048482959,0.069172278,0.087515296,0.119434588,0.071470607,0.355778657
0.085609778,0.109070539,0.0751416,0.002478086,0.809286263,0,0.000150538,0.051941385,0.042625401,0.019575724,0.040859475,0.069033233,0.081365765,0.113725636,0.060985242,0.350932926
0.093999808,0.118035072,0.079677003,0.003411655,0.924486831,0,1.02E-05,0.059053394,0.043214299,0.01918928,0.037343793,0.063346138,0.081049862,0.127788513,0.067546674,0.310942144
0.110259416,0.155046107,0.063445977,0.018989734,0.718195247,0,0,0.034983407,0.022360301,0.012446867,0.02095039,0.047782752,0.061837798,0.18174629,0.041394094,0.63058252
0.071933935,0.145445556,0.02524297,0.012109803,0.425228909,0,0,0.00844275,0.003070091,0.002217288,0.002409169,0.012898646,0.03099939,0.12401888,0.013751449,0.758717533
0.050528672,0.178471795,0.025566,0.01297154,0.370895537,0,3.77E-05,0.00814492,0.001546027,0.000942699,0.002375602,0.01018115,0.02779077,0.076283212,0.011123849,0.645409518
0.04947644,0.148429321,0.023330701,0.018809578,0.457273204,0,0,0.007037597,0.00183404,0.001364867,0.002132605,0.009298159,0.022435007,0.079546173,0.010876286,0.660766391
0.033984366,0.131983838,0.022249666,0.019936373,0.77730826,0,0,0.004794824,0.001598275,0.000967377,0.003154489,0.005383662,0.022417905,0.028516585,0.00908493,0.192339737
0.064487685,0.123705838,0.025806468,0.015011047,0.296233184,0,0,0.006608279,0.00122481,0.000939971,0.002905364,0.01820125,0.033838944,0.115901233,0.009542127,0.873403665
0.06399371,0.142657565,0.030963746,0.014640627,0.2408029,0,0,0.007054657,0.002302357,0.001328283,0.004368574,0.026122894,0.041029178,0.109598084,0.014109314,0.859694099
0.067810934,0.131278757,0.032518591,0.004124131,0.338324735,0,0,0.010000105,0.004671582,0.001204392,0.008649726,0.020657152,0.037080683,0.123395462,0.014160733,0.776760015
0.10730425,0.147911251,0.050683923,0.000498858,0.489129786,0,0,0.019355671,0.009727721,0.003142802,0.016063212,0.037913171,0.051681638,0.161879261,0.018856814,0.723293501
0.063239888,0.15630375,0.037443238,0.00065308,0.91920973,0,0,0.01643584,0.010503699,0.001795969,0.008163497,0.01561949,0.03417784,0.062967771,0.011701012,0.208604553
0.051222849,0.12336408,0.033480857,0.000715403,0.910478989,0,0,0.017885073,0.012276314,0.00397764,0.010158721,0.014622836,0.02933152,0.055715579,0.011990153,0.243437306
0.059208607,0.13575978,0.04116924,0.002554932,0.854469811,0,1.94E-05,0.027000983,0.023691185,0.005013086,0.026226761,0.027175183,0.042601551,0.09406794,0.023246007,0.411673049
0.058364412,0.121840662,0.045380343,0.002543139,0.763964208,0,0,0.031693396,0.029533645,0.006415357,0.025776444,0.03725252,0.041163077,0.09442843,0.027833959,0.440461532
0.056626707,0.110127198,0.045656182,0.002733042,0.763381712,0,9.59E-06,0.032940345,0.032297841,0.01035679,0.028711323,0.037696797,0.046922011,0.075307287,0.032700605,0.443021272
0.059138591,0.109016343,0.048607998,0.006021826,0.703071017,0,0,0.042654602,0.032344506,0.015161012,0.040533277,0.044228489,0.053755443,0.088236481,0.04051807,0.511931259
0.060259835,0.097865211,0.052100129,0.003956842,0.622141664,0,0,0.042377164,0.026098756,0.012157551,0.037795018,0.047077195,0.053596759,0.08883418,0.046820923,0.491145588
0.074674598,0.102599894,0.05688039,0.002798211,0.534014462,0,0,0.040471083,0.02345455,0.011427213,0.041302024,0.056550144,0.059369661,0.107716927,0.053073686,0.543580936
