Building Height,Façade to Site Ratio,Building Density,Urban Road Volumetric Heat Capacity,Urban Road Albedo,Sensible Anthropogenic Heat,Urban Road Thermal Conductivity
0.064982112,0.712834776,0.041261218,0.022338581,-0.00963985,0.010073103,0.022028883
0.050264019,0.747300265,0.03768091,0.012263464,0.000163549,-0.001198,0.040994316
0.032658681,0.744254264,0.060476138,0.012246775,-0.002033533,0.010454871,0.040601658
0.032422842,0.699174707,0.042224578,0.016200016,0.000930535,0.003214875,0.057908398
0.021824202,0.431115771,0.052768877,0.151201116,0.002235824,0.007146532,0.220988889
0.046076479,0.160229071,0.060057602,0.269536348,0.000111002,0.008119809,0.40252203
0.04786617,0.084716843,0.062712192,0.26844028,0.000157447,0.009048274,0.490950927
0.121265608,0.280707983,0.247957592,0.129181855,-0.001402856,0.018919633,0.172531119
0.145180634,0.198670273,0.325647129,0.0804441,0.000766566,0.016893415,0.089706502
0.14218781,0.166785175,0.343001131,0.132973853,0.000722749,0.015736967,0.095624395
0.093999765,0.057911746,0.273572008,0.080572889,0.002969975,0.010298607,0.05729185
0.147522171,0.002067096,0.29600908,0.084506313,-0.003742791,-0.003323867,0.082793919
0.209023175,0.016626393,0.463335506,0.083186513,-0.000769462,0.042101686,0.109650513
0.118531194,0.038411812,0.371605929,0.033241152,-0.001973111,0.054317301,0.054100703
0.200809838,0.160430056,0.311338125,0.032126483,0.003696934,0.063402623,0.054758262
0.237051964,0.150572362,0.248283343,0.025290808,-0.002057609,0.047148747,0.046901893
0.450184547,0.070633153,0.348757204,0.00551195,-0.002981385,0.054635796,0.003512903
0.609545665,0.039395069,0.119903164,0.022312362,0.018176141,0.106279908,0.016929729
0.631093636,0.036438644,0.203360798,0.005376795,-0.000831293,0.041131507,0.000954382
0.625162936,0.067591625,0.134087137,0.004822668,-0.001195031,0.012033422,0.001533281
0.534971315,0.20972331,0.132174107,-0.0030352,0.002677099,0.002416083,0.000397581
0.35820765,0.324009593,0.10626609,0.010120457,0.001467869,-0.001437856,0.054140846
0.205337871,0.453965666,0.080633882,-0.003610628,0.003562279,-0.002852585,0.025039324
0.118409001,0.670011151,0.069627437,0.002249937,0.001579412,0.006589472,0.033598738
