Building Height,Façade to Site Ratio,Building Density,Urban Road Volumetric Heat Capacity,Urban Road Albedo,Sensible Anthropogenic Heat,Urban Road Thermal Conductivity
0.187894388,0.818872452,0.162113312,0.119790779,0.01486934,0.093470563,0.125881505
0.1301226,0.884876754,0.133008629,0.100296705,0.014814234,0.068453461,0.11300744
0.112734069,0.857965313,0.136363961,0.114753025,0.013572249,0.061017724,0.119857811
0.109767211,0.830186374,0.117782832,0.100225774,0.014084978,0.051718385,0.121566856
0.097535154,0.548141466,0.108687305,0.223653215,0.014138904,0.05447613,0.287587397
0.07256016,0.21003218,0.091014767,0.313777665,0.003602102,0.030124432,0.443083274
0.074299444,0.141469497,0.110785154,0.323199088,0.004822824,0.031173614,0.539037925
0.156204815,0.322577252,0.308493212,0.178197007,0.004744891,0.042327438,0.205687246
0.209622396,0.300822648,0.453721252,0.137007651,0.005458197,0.045945581,0.121462153
0.194064178,0.245386936,0.420548758,0.21399757,0.012830689,0.057623543,0.172756069
0.336612022,0.206639638,0.638674423,0.258957636,0.024678301,0.086867619,0.247112051
0.384504345,0.04723437,0.685727037,0.243629908,0.02900356,0.084524662,0.278434181
0.27554177,0.047006852,0.540352073,0.149484811,0.02765998,0.085247152,0.17548217
0.29368202,0.190997456,0.642976168,0.116223097,0.033950475,0.187040039,0.202244852
0.338340969,0.270707107,0.46725729,0.08754637,0.025748932,0.136469341,0.143507382
0.403408166,0.262607259,0.394212389,0.095575776,0.023517068,0.155423699,0.128288621
0.526474361,0.097793889,0.43163944,0.022340208,0.007619342,0.126421903,0.022932001
0.777783227,0.16606265,0.310096581,0.07391859,0.058517315,0.266980541,0.151979332
0.74053941,0.092841592,0.296821011,0.047586869,0.012271526,0.10244781,0.045171433
0.744700297,0.151887245,0.22811219,0.046833464,0.007234002,0.061783734,0.051736509
0.610664333,0.291815668,0.212786864,0.054488069,0.006391444,0.058266659,0.05878923
0.432492697,0.441857839,0.188962931,0.090240987,0.0070013,0.046789618,0.11027048
0.378411874,0.60293599,0.219657051,0.108088181,0.007453001,0.090989541,0.121735629
0.22817007,0.811891221,0.209125326,0.13981803,0.010736994,0.135934817,0.125752568
