Building Height,Façade to Site Ratio,Building Density,Urban Road Volumetric Heat Capacity,Urban Road Albedo,Sensible Anthropogenic Heat,Urban Road Thermal Conductivity
0.259545527,0.561696371,0.072627784,0.003937425,0.000476326,0.009679126,0.005901792
0.253692711,0.596912372,0.079107399,0.025143462,0.003584149,0.018496964,-0.001571141
0.234147673,0.5851985,0.064387688,0.012885192,0.000609847,0.012421546,-0.004905951
0.228868042,0.574429646,0.056259342,0.001522904,0.000481208,0.005505365,0.003557965
0.230974512,0.581351306,0.089323631,0.042938028,0.002274058,0.014604954,0.02933733
0.202306613,0.556731093,0.070936791,0.043964364,0.001318148,0.021072554,0.012150037
0.158874614,0.518011098,0.056160499,0.054544966,-0.002819562,0.022504526,0.0170707
0.124876481,0.352067473,0.069635117,0.211516388,0.003710373,0.00916423,0.058261046
0.04413094,0.128231768,0.069943476,0.353050014,-0.002809578,0.002473503,0.094846146
0.075927885,0.116467406,0.130367845,0.396544981,-0.001440582,0.001114694,0.118764846
0.226043009,0.234457569,0.206139416,0.12405038,-0.001230771,0.00698295,0.044602389
0.363895817,0.264988742,0.232885427,0.024773158,-0.00167019,0.01006699,0.01864916
0.013876016,0.149995059,0.017195003,-0.007175478,0.007877992,-0.002910893,-0.001429451
0.140331729,0.286245378,0.046694205,-0.002452342,0.010212176,0.03393468,0.01198661
0.0860952,0.214068016,-0.006755756,0.012600234,0.005672364,-0.001660082,-0.003590119
0.024607218,-0.012561663,0.098468151,-0.009984965,-0.000443119,-0.019047198,-0.025551847
0.369621399,0.367516397,0.19368595,0.005967755,0.000538647,0.035295304,0.001350881
0.342038452,0.434109426,0.173208872,0.003913564,8.25E-05,0.040240825,-0.000367788
0.268966311,0.489294,0.116637159,-0.002967916,-0.000913056,0.024777038,-0.014056092
0.283948471,0.513158376,0.094176689,-0.001355715,-0.002004559,0.007855019,0.003811304
0.281491275,0.522039268,0.095431879,-0.004749428,-0.001829202,0.000879747,-0.008493441
0.270682432,0.541807553,0.07676505,-0.003986245,-0.000246499,-0.000189287,-0.003114828
0.2958005,0.525698762,0.074460696,0.008680236,0.00206152,0.015096779,0.003328153
0.28563628,0.554029579,0.069665391,0.014343703,0.002527601,0.001483741,0.001901059
