Building Height,Façade to Site Ratio,Building Density,Urban Road Volumetric Heat Capacity,Urban Road Albedo,Sensible Anthropogenic Heat,Urban Road Thermal Conductivity
0.329465102,0.661324106,0.130229485,0.042109235,0.002588324,0.056294555,0.035369799
0.334428792,0.705223787,0.134812009,0.050289496,0.00258665,0.056831942,0.045003923
0.336966702,0.680515153,0.135325146,0.062802335,0.003640737,0.055814343,0.057063964
0.338776801,0.673193601,0.13253161,0.065539418,0.00351353,0.054706595,0.049802434
0.329572154,0.715315266,0.143988798,0.083299377,0.002730043,0.06522332,0.05965959
0.301601356,0.721472611,0.136011476,0.096159187,0.001970072,0.063460364,0.060870033
0.297576346,0.693464197,0.135909708,0.114252692,0.001931582,0.065666268,0.066000724
0.315802906,0.577895698,0.154463122,0.260999042,0.004968418,0.074503003,0.124035923
0.350304717,0.422606561,0.224061591,0.413853933,0.006443303,0.076350292,0.14922234
0.221243458,0.276094835,0.222162434,0.460177203,0.003503596,0.042330329,0.159499762
0.373339239,0.388646998,0.356401487,0.165550581,0.004252155,0.046915447,0.083980068
0.414531826,0.331096597,0.310637917,0.089350154,0.0054974,0.035072023,0.039943137
0.723362861,0.845930255,0.424652102,0.065501132,0.012390534,0.106977427,0.034728398
0.646745846,0.847814226,0.483576686,0.121942909,0.026471592,0.285835337,0.076666361
0.733678445,0.804766667,0.473221597,0.112581348,0.017897035,0.276954115,0.113581182
0.723357312,0.784761888,0.698263182,0.174518269,0.015018457,0.356450712,0.11653562
0.429625706,0.440348048,0.24812101,0.018085877,0.001980834,0.072601878,0.01309073
0.393172364,0.48648185,0.219852112,0.018514437,0.001706714,0.061086719,0.016043115
0.353696018,0.602437558,0.193237439,0.030794761,0.002953964,0.065874671,0.031808997
0.342369018,0.601274193,0.166075408,0.030846027,0.002616078,0.053274114,0.027614668
0.344712505,0.613633069,0.165188429,0.031447457,0.00321415,0.041386389,0.031831537
0.347770705,0.643793311,0.149337912,0.034778881,0.003413497,0.042366154,0.034186691
0.353384906,0.623971507,0.141356433,0.039277571,0.003308473,0.049637396,0.035602633
0.350069544,0.650486087,0.13424439,0.045178301,0.002914397,0.055065941,0.034448648
