,,,All Values Hourly - First Order,,,,,,,,,,,,,,,,,,,,
SUM,1.919096833,5.303864111,6.122640629,0.544123911,-0.008625791,0.073918002,0.859146223,4.006627961,0.974148346,-0.018511578,-0.006349336,-0.033358835,0.018527426,0.42007434,-0.06665744,-0.00953087,-0.047636164,0.08370605,0.058055771,0.019563863,-0.020015612,-0.009156486,-0.029237761
,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value
1,0.031910761,0.531446841,0.20640722,0.027479365,0.003906419,0.01403958,0.031931232,-0.003113864,0.025204235,-0.003999492,-0.00094907,0.004131909,0.004791683,0.027509613,0.007788178,-0.002300674,-0.000852483,0.023342492,0.011862226,0.009315273,0.016731884,0.016677843,-0.000758067
2,0.018729817,0.436717431,0.183957604,0.037044482,0.003644623,-0.001969901,0.05864952,0.015295282,0.025079052,-0.006330779,2.97E-05,0.002972368,-0.000503236,-0.007192786,-0.005248934,-0.003074718,-0.000922842,0.003649618,0.013067944,-0.004994639,-0.007506301,-0.005922444,-0.010369526
3,0.015702592,0.352772708,0.201307223,0.080398277,-0.000117812,0.000470375,0.102058672,0.015346535,0.050530959,0.001365693,0.000275532,0.012941516,0.006720531,0.000660554,-0.007856138,-0.001064233,0.002974681,0.008592789,0.001816862,0.000694538,-0.005628207,-0.00593445,0.000847474
4,0.020495261,0.290222117,0.221926873,0.112001862,0.002091868,-0.002437011,0.134079076,0.018573037,0.059502172,0.004533801,0.000449696,0.006659707,0.00142741,0.000913041,-0.004768168,0.001926796,0.00168779,0.006645525,0.00834618,-0.004319006,0.000188298,0.010529518,-0.002568377
5,0.028461998,0.239222937,0.237918364,0.140051997,0.000230766,-0.001405381,0.190978733,0.025141506,0.049382485,-0.001248331,0.000172769,-0.001130069,0.003086067,0.004208273,-0.004225041,-0.000265701,-1.57E-06,0.00381295,0.00194447,-0.002183792,0.001387207,0.004283919,-0.000758852
6,0.024069331,0.282752865,0.361018768,0.079903889,-0.000352333,0.000463886,0.1268457,0.00517379,0.052418057,-0.000430684,0.000143728,0.002628758,-0.001169726,0.005734052,-0.003040917,0.000435235,-0.00136468,0.001006447,0.00022983,-0.002781761,-0.000196304,-0.001259703,0.001979869
7,0.039884212,0.264887735,0.442420047,0.045753568,0.001292916,0.006245636,0.09063062,0.019443422,0.078094994,0.001348137,0.003717319,0.003134656,0.001898655,0.013796997,0.002210646,-0.000148021,0.000570454,0.004537415,0.001738672,0.004176484,0.001569022,0.002126667,0.001886693
8,0.041711558,0.169886039,0.468129051,0.020602001,0.000858672,0.002548835,0.026053605,0.144436227,0.059695258,0.000414696,0.005089481,-0.000330641,0.003268782,0.025813623,0.001176515,-0.000353625,0.001688064,0.007478499,0.000214591,0.006632215,0.001408102,0.002428896,0.001885968
