                                           mu   mu_star     sigma  mu_star_conf
glazing_ratio                       -0.241853  0.434821  1.379857      0.565495
wall_u_value                        -0.158929  0.158929  0.105631      0.047298
window_u_value                       0.007031  0.008036  0.010881      0.004372
window_sghc                          0.002288  0.002400  0.002608      0.001247
infiltration_rate                    0.012612  0.012946  0.008350      0.003572
chiller_cop                         -0.020815  0.020815  0.015039      0.006971
indoor_temp_set_point               -0.198270  0.198270  0.065530      0.032293
equipment_load_density               0.036217  0.036217  0.029790      0.015268
lighting_load_density                0.016797  0.016908  0.011477      0.005577
occupancy_density                   -0.008036  0.008482  0.012036      0.006250
bld_height                           0.431138  0.431138  1.297791      0.607406
ver_to_hor                          -0.032757  0.061886  0.073202      0.021877
bld_density                          0.097266  0.097266  0.058008      0.025594
urban_road_volumetric_heat_capacity -0.024442  0.024442  0.012224      0.005568
urban_area_length                    0.010324  0.011998  0.012116      0.004319
road_albedo                         -0.004353  0.008147  0.012198      0.004695
sensible_anthropogenic_heat          0.008092  0.009208  0.009827      0.004227
urban_road_thermal_conductivity     -0.029911  0.029911  0.009353      0.004443
urban_road_thickness                 0.027009  0.027455  0.016813      0.007393
wall_albedo                         -0.353237  0.401339  1.383884      0.684900
roof_albedo                         -0.001674  0.001786  0.002135      0.000905
wall_emissivity                     -0.033594  0.033594  0.022415      0.009749
roof_emissivity                     -0.018471  0.019699  0.022155      0.009569
roof_vegetation_coverage            -0.003181  0.004297  0.006553      0.002695
floor_height                        -0.050000  0.050000  0.041834      0.020140
ventilation_rate                     0.000000  0.000000  0.000000      0.000000
